src/pages/reports/field/FieldCostComparison.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/field/FieldCostComparison.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/field/FieldROI.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/field/FieldYieldRanking.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/field/FieldYieldRanking.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/profitability/CostBreakdownComparison.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/profitability/CostBreakdownComparison.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/profitability/YearOverYearProfit.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/profitability/YearOverYearProfit.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/sales/BuyerBreakdown.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/sales/BuyerBreakdown.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/sales/BuyerBreakdown.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/sales/BuyerBreakdown.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/sales/SalesByMonth.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/sales/SalesByMonth.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/seeds/SeedBagRequirements.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
